timestamp,index,uuid,pci_bus_id,graphics_clock_mhz,memory_clock_mhz,power_w,power_limit_w,gpu_temperature_c,memory_temperature_c,gpu_util_pct,memory_used_mib,pstate,sw_power_cap,sw_thermal_slowdown,hw_thermal_slowdown
2026/07/20 00:40:56.615, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.85, 150.00, 54, 53, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:56.621, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 51, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:56.758, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.85, 150.00, 54, 53, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:56.765, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.28, 150.00, 53, 51, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:56.928, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.85, 150.00, 54, 53, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:56.934, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 51, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.099, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.87, 150.00, 54, 53, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.107, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 51, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.269, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.85, 150.00, 54, 53, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.275, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.78, 150.00, 53, 51, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.412, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.85, 150.00, 54, 53, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.417, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 52, 51, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.575, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.85, 150.00, 54, 53, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.581, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 51, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.745, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.85, 150.00, 54, 53, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.751, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 51, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.913, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.85, 150.00, 54, 53, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:57.920, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 51, 0, 5, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:58.071, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.83, 150.00, 54, 53, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:58.077, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 51, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:58.209, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.83, 150.00, 54, 53, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:58.215, 1, ${V100_GPU_1_UUID}, 00000000:02:00.0, 900, 877, 30.76, 150.00, 53, 51, 0, 8, P0, Not Active, Not Active, Not Active
2026/07/20 00:40:58.349, 0, ${V100_GPU_0_UUID}, 00000000:01:00.0, 900, 877, 32.85, 150.00, 54, 53, 0, 32, P0, Not Active, Not Active, Not Active
